family,params,seed,n,m,solver_type,preprocessing_enabled,propagation_enabled,lower_bound_type,optimal_cover_size,runtime_seconds,nodes_explored,nodes_pruned,max_depth,forced_assignments,preprocessing_reductions,vertices_removed_by_preprocessing,root_lower_bound,finished,threshold_trajectory
watts_strogatz,"n=10, k=4, p=0.3",1024,10,20,ablation_prep,True,True,trivial,7,0.008165,195,0,0,0,0,0,0,True,"[(4, 2.0, 6), (8, 2.0, 6), (8, 3.0, 9), (16, 4.0, 13), (16, 5.0, 21), (32, 8.0, 35), (32, 12.0, 35), (32, 14.0, 35), (32, 15.0, 35)]"
watts_strogatz,"n=10, k=4, p=0.3",1024,10,20,ablation_prep_lb,True,True,maximal_matching,7,0.007424,166,0,0,0,0,0,0,True,"[(1, 4.0, 1), (2, 4.0, 1), (4, 4.0, 1), (4, 5.0, 4), (8, 4.0, 1), (8, 5.0, 4), (16, 4.0, 1), (16, 6.0, 14), (32, 8.0, 34), (32, 12.0, 35), (32, 14.0, 35), (32, 15.0, 35)]"
watts_strogatz,"n=10, k=4, p=0.3",1024,10,20,enhanced_emulation,True,True,maximal_matching,7,0.002534,53,0,0,0,0,0,0,True,"[(1, 4.0, 1), (2, 4.0, 1), (4, 4.0, 1), (4, 5.0, 6), (8, 8.0, 11), (8, 12.0, 11), (8, 14.0, 11), (8, 15.0, 11)]"
watts_strogatz,"n=10, k=4, p=0.5",42,10,20,baseline,False,False,trivial,6,0.00072,177,85,10,0,0,0,0,True,[]
watts_strogatz,"n=10, k=4, p=0.5",42,10,20,improved,True,True,maximal_matching,6,7.8e-05,5,2,2,11,14,8,4,True,[]
watts_strogatz,"n=10, k=4, p=0.5",42,10,20,raw_emulation,False,False,trivial,6,0.017236,377,0,0,0,0,0,0,True,"[(4, 1.0, 5), (8, 2.0, 12), (16, 2.0, 12), (16, 3.0, 21), (32, 4.0, 36), (64, 4.0, 36), (64, 5.0, 64), (128, 8.0, 191)]"
watts_strogatz,"n=10, k=4, p=0.5",42,10,20,ablation_prep,True,True,trivial,6,0.001259,20,0,0,0,0,0,0,True,"[(4, 8.0, 5), (4, 12.0, 5), (4, 14.0, 5), (4, 15.0, 5)]"
watts_strogatz,"n=10, k=4, p=0.5",42,10,20,ablation_prep_lb,True,True,maximal_matching,6,0.001253,24,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 2.0, 1), (2, 3.0, 1), (4, 8.0, 5), (4, 12.0, 5), (4, 14.0, 5), (4, 15.0, 5)]"
watts_strogatz,"n=10, k=4, p=0.5",42,10,20,enhanced_emulation,True,True,maximal_matching,6,0.00149,24,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 2.0, 1), (2, 3.0, 1), (4, 8.0, 5), (4, 12.0, 5), (4, 14.0, 5), (4, 15.0, 5)]"
watts_strogatz,"n=10, k=4, p=0.5",123,10,20,baseline,False,False,trivial,6,0.000883,217,105,10,0,0,0,0,True,[]
watts_strogatz,"n=10, k=4, p=0.5",123,10,20,improved,True,True,maximal_matching,6,8.6e-05,5,2,2,12,13,7,4,True,[]
watts_strogatz,"n=10, k=4, p=0.5",123,10,20,raw_emulation,False,False,trivial,6,0.016479,543,0,0,0,0,0,0,True,"[(8, 1.0, 7), (16, 2.0, 14), (16, 3.0, 24), (32, 4.0, 44), (64, 4.0, 44), (64, 5.0, 78), (128, 4.0, 44), (128, 6.0, 120), (128, 7.0, 168)]"
watts_strogatz,"n=10, k=4, p=0.5",123,10,20,ablation_prep,True,True,trivial,6,0.002291,31,0,0,0,0,0,0,True,"[(4, 2.0, 5), (4, 3.0, 6), (8, 4.0, 8), (8, 6.0, 12)]"
watts_strogatz,"n=10, k=4, p=0.5",123,10,20,ablation_prep_lb,True,True,maximal_matching,6,0.002021,33,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 4.0, 2), (4, 4.0, 2), (4, 5.0, 5), (8, 4.0, 2), (8, 6.0, 8), (8, 7.0, 12)]"
watts_strogatz,"n=10, k=4, p=0.5",123,10,20,enhanced_emulation,True,True,maximal_matching,6,0.001718,24,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 2.0, 1), (2, 3.0, 1), (4, 8.0, 5), (4, 12.0, 5), (4, 14.0, 5), (4, 15.0, 5)]"
watts_strogatz,"n=10, k=4, p=0.5",256,10,20,baseline,False,False,trivial,6,0.001177,293,143,10,0,0,0,0,True,[]
watts_strogatz,"n=10, k=4, p=0.5",256,10,20,improved,True,True,maximal_matching,6,0.000112,7,3,3,14,17,10,4,True,[]
watts_strogatz,"n=10, k=4, p=0.5",256,10,20,raw_emulation,False,False,trivial,6,0.017279,572,0,0,0,0,0,0,True,"[(4, 1.0, 5), (8, 1.0, 5), (16, 2.0, 13), (32, 2.0, 13), (32, 3.0, 30), (64, 4.0, 55), (64, 5.0, 89), (128, 4.0, 55), (128, 6.0, 131), (128, 7.0, 176)]"
