family,params,seed,n,m,solver_type,preprocessing_enabled,propagation_enabled,lower_bound_type,optimal_cover_size,runtime_seconds,nodes_explored,nodes_pruned,max_depth,forced_assignments,preprocessing_reductions,vertices_removed_by_preprocessing,root_lower_bound,finished,threshold_trajectory
erdos_renyi,"n=10, p=0.3",789,10,9,improved,True,True,maximal_matching,4,2.1e-05,1,0,0,0,10,6,4,True,[]
erdos_renyi,"n=10, p=0.3",789,10,9,raw_emulation,False,False,trivial,4,0.013731,318,0,0,0,0,0,0,True,"[(16, 1.0, 17), (32, 2.0, 38), (64, 2.0, 38), (64, 3.0, 76), (128, 4.0, 149)]"
erdos_renyi,"n=10, p=0.3",789,10,9,ablation_prep,True,True,trivial,4,0.000224,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
erdos_renyi,"n=10, p=0.3",789,10,9,ablation_prep_lb,True,True,maximal_matching,4,0.000202,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
erdos_renyi,"n=10, p=0.3",789,10,9,enhanced_emulation,True,True,maximal_matching,4,0.000202,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
erdos_renyi,"n=10, p=0.3",1024,10,11,baseline,False,False,trivial,5,0.001425,415,203,10,0,0,0,0,True,[]
erdos_renyi,"n=10, p=0.3",1024,10,11,improved,True,True,maximal_matching,5,2e-05,1,0,0,0,10,5,5,True,[]
erdos_renyi,"n=10, p=0.3",1024,10,11,raw_emulation,False,False,trivial,5,0.029098,904,0,0,0,0,0,0,True,"[(16, 1.0, 19), (32, 2.0, 48), (64, 2.0, 48), (64, 3.0, 95), (128, 4.0, 163), (256, 4.0, 163), (256, 6.0, 368)]"
erdos_renyi,"n=10, p=0.3",1024,10,11,ablation_prep,True,True,trivial,5,0.000234,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
erdos_renyi,"n=10, p=0.3",1024,10,11,ablation_prep_lb,True,True,maximal_matching,5,0.000254,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
erdos_renyi,"n=10, p=0.3",1024,10,11,enhanced_emulation,True,True,maximal_matching,5,0.000198,4,0,0,0,0,0,0,True,"[(1, 8.0, 1), (1, 12.0, 1), (1, 14.0, 1), (1, 15.0, 1)]"
erdos_renyi,"n=10, p=0.5",42,10,21,baseline,False,False,trivial,6,0.000965,223,108,10,0,0,0,0,True,[]
erdos_renyi,"n=10, p=0.5",42,10,21,improved,True,True,maximal_matching,6,9.8e-05,5,2,2,11,12,6,4,True,[]
erdos_renyi,"n=10, p=0.5",42,10,21,raw_emulation,False,False,trivial,6,0.018364,539,0,0,0,0,0,0,True,"[(8, 1.0, 7), (16, 2.0, 14), (32, 4.0, 45), (64, 4.0, 45), (64, 5.0, 80), (128, 4.0, 45), (128, 6.0, 127), (128, 7.0, 176)]"
erdos_renyi,"n=10, p=0.5",42,10,21,ablation_prep,True,True,trivial,6,0.001494,23,0,0,0,0,0,0,True,"[(2, 1.0, 3), (4, 8.0, 5), (4, 12.0, 5), (4, 14.0, 5), (4, 15.0, 5)]"
erdos_renyi,"n=10, p=0.5",42,10,21,ablation_prep_lb,True,True,maximal_matching,6,0.001522,24,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 4.0, 2), (4, 8.0, 5), (4, 12.0, 5), (4, 14.0, 5), (4, 15.0, 5)]"
erdos_renyi,"n=10, p=0.5",42,10,21,enhanced_emulation,True,True,maximal_matching,6,0.001734,25,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 4.0, 3), (4, 8.0, 5), (4, 12.0, 5), (4, 14.0, 5), (4, 15.0, 5)]"
erdos_renyi,"n=10, p=0.5",123,10,25,baseline,False,False,trivial,6,0.000569,123,58,10,0,0,0,0,True,[]
erdos_renyi,"n=10, p=0.5",123,10,25,improved,True,True,maximal_matching,6,0.000133,7,3,3,14,7,4,4,True,[]
erdos_renyi,"n=10, p=0.5",123,10,25,raw_emulation,False,False,trivial,6,0.010141,269,0,0,0,0,0,0,True,"[(4, 1.0, 5), (8, 2.0, 9), (16, 4.0, 23), (32, 4.0, 23), (32, 5.0, 37), (64, 4.0, 23), (64, 6.0, 58), (64, 7.0, 91)]"
erdos_renyi,"n=10, p=0.5",123,10,25,ablation_prep,True,True,trivial,6,0.00318,45,0,0,0,0,0,0,True,"[(2, 2.0, 3), (4, 4.0, 6), (8, 8.0, 9), (8, 12.0, 9), (8, 14.0, 9), (8, 15.0, 9)]"
erdos_renyi,"n=10, p=0.5",123,10,25,ablation_prep_lb,True,True,maximal_matching,6,0.00296,46,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 4.0, 2), (4, 4.0, 2), (4, 5.0, 4), (8, 8.0, 9), (8, 12.0, 9), (8, 14.0, 9), (8, 15.0, 9)]"
erdos_renyi,"n=10, p=0.5",123,10,25,enhanced_emulation,True,True,maximal_matching,6,0.003014,38,0,0,0,0,0,0,True,"[(1, 2.0, 1), (1, 3.0, 1), (2, 4.0, 2), (4, 4.0, 2), (4, 5.0, 4), (8, 8.0, 7), (8, 12.0, 7), (8, 14.0, 7), (8, 15.0, 7)]"
erdos_renyi,"n=10, p=0.5",256,10,25,baseline,False,False,trivial,7,0.000829,175,85,10,0,0,0,0,True,[]
erdos_renyi,"n=10, p=0.5",256,10,25,improved,True,True,maximal_matching,7,0.000142,9,4,4,20,16,11,5,True,[]
